t,theta
20.5,3.4783
20.5167,3.49963
20.5333,3.52258
20.55,3.54333
20.5667,3.56612
20.5833,3.58808
20.6,3.60846
20.6167,3.6299
20.6333,3.65022
20.65,3.67151
20.6667,3.69183
20.6833,3.71341
20.7,3.73303
20.7167,3.75269
20.7333,3.7724
20.75,3.79137
20.7667,3.80891
20.7833,3.8293
20.8,3.84823
20.8167,3.86591
20.8333,3.88384
20.85,3.90324
20.8667,3.91852
20.8833,3.93675
20.9,3.95479
20.9167,3.97004
20.9333,3.98794
20.95,4.00403
20.9667,4.02059
20.9833,4.03866
21,4.0526
21.0167,4.06934
21.0333,4.08424
21.05,4.10016
21.0667,4.11489
21.0833,4.1308
21.1,4.14756
21.1167,4.16048
21.1333,4.17641
21.15,4.19034
21.1667,4.20516
21.1833,4.21926
21.2,4.23397
21.2167,4.24866
21.2333,4.2614
21.25,4.27626
21.2667,4.28917
21.2833,4.30462
21.3,4.31622
21.3167,4.3306
21.3333,4.34556
21.35,4.35874
21.3667,4.37275
21.3833,4.38454
21.4,4.39856
21.4167,4.41263
21.4333,4.42556
21.45,4.43921
21.4667,4.45101
21.4833,4.46482
21.5,4.47898
21.5167,4.49327
21.5333,4.50485
21.55,4.51954
21.5667,4.5328
21.5833,4.54718
21.6,4.5608
21.6167,4.57444
21.6333,4.58782
21.65,4.59925
21.6667,4.61476
21.6833,4.62958
21.7,4.64288
21.7167,4.65667
21.7333,4.66991
21.75,4.684
21.7667,4.69953
21.7833,4.71318
21.8,4.7267
21.8167,4.74329
21.8333,4.75686
21.85,4.77258
21.8667,4.78834
21.8833,4.80287
21.9,4.81816
21.9167,4.83477
21.9333,4.85059
21.95,4.86728
21.9667,4.88283
21.9833,4.89917
22,4.9156
22.0167,4.93227
22.0333,4.94801
22.05,4.96668
22.0667,4.98388
22.0833,5.00004
22.1,5.01904
22.1167,5.03655
22.1333,5.05522
22.15,5.07224
22.1667,5.09135
22.1833,5.11118
22.2,5.12957
22.2167,5.14921
22.2333,5.1696
22.25,5.18986
22.2667,5.21017
22.2833,5.22859
22.3,5.25005
22.3167,5.27124
22.3333,5.29305
22.35,5.31302
22.3667,5.33463
22.3833,5.35758
22.4,5.38022
22.4167,5.40071
22.4333,5.42329
22.45,5.44617
22.4667,5.47075
22.4833,5.49269
22.5,5.51605
22.5167,5.54182
22.5333,5.56559
22.55,5.58975
22.5667,5.61312
22.5833,5.6379
22.6,5.66457
22.6167,5.68928
22.6333,5.71386
22.65,5.74105
22.6667,5.7669
22.6833,5.79251
22.7,5.81911
22.7167,5.84642
22.7333,5.87153
22.75,5.89843
22.7667,5.92864
22.7833,5.95495
22.8,5.98374
22.8167,6.00998
22.8333,6.03843
22.85,6.06662
22.8667,6.0963
22.8833,6.12421
22.9,6.15465
22.9167,6.18159
22.9333,6.21085
22.95,6.24134
22.9667,6.27033
22.9833,0.0169011
23,0.0463191
23.0167,0.0785028
23.0333,0.108431
23.05,0.137915
23.0667,0.16885
23.0833,0.200783
23.1,0.230446
23.1167,0.261443
23.1333,0.291841
23.15,0.323206
23.1667,0.353772
23.1833,0.386122
23.2,0.416599
23.2167,0.447762
23.2333,0.47929
23.25,0.509635
23.2667,0.541485
23.2833,0.572998
23.3,0.605797
23.3167,0.637364
23.3333,0.667529
23.35,0.699918
23.3667,0.731877
23.3833,0.764362
23.4,0.796259
23.4167,0.827441
23.4333,0.859254
23.45,0.891557
23.4667,0.922577
23.4833,0.955272
23.5,0.983892
23.5167,1.01665
23.5333,1.04855
23.55,1.07983
23.5667,1.1101
23.5833,1.14076
23.6,1.17376
23.6167,1.20344
23.6333,1.23373
23.65,1.2657
23.6667,1.29583
23.6833,1.32691
0,1.35674
0,1.38742
0,1.41653
0,1.4473
0,1.47623
0,1.50602
0,1.5352
0,1.56553
0,1.59444
0,1.62397
0,1.65319
0,1.68055
0,1.7112
0,1.73853
0,1.76643
0,1.7939
0,1.82206
0,1.85005
